project euler problem 66 outputs:

x = 2, D = 3, y = 1
x = 3, D = 2, y = 2
x = 4, D = 15, y = 1
x = 5, D = 6, y = 2
x = 6, D = 35, y = 1
x = 7, D = 3, y = 4
x = 8, D = 7, y = 3
x = 9, D = 5, y = 4
x = 10, D = 11, y = 3
x = 11, D = 30, y = 2
x = 12, D = 143, y = 1
x = 13, D = 42, y = 2
x = 14, D = 195, y = 1
x = 15, D = 14, y = 4
x = 16, D = 255, y = 1
x = 17, D = 8, y = 6
x = 18, D = 323, y = 1
x = 19, D = 10, y = 6
x = 20, D = 399, y = 1
x = 21, D = 110, y = 2
x = 22, D = 483, y = 1
x = 23, D = 33, y = 4
x = 24, D = 23, y = 5
x = 25, D = 39, y = 4
x = 26, D = 27, y = 5
x = 27, D = 182, y = 2
x = 28, D = 87, y = 3
x = 29, D = 210, y = 2
x = 30, D = 899, y = 1
x = 31, D = 15, y = 8
x = 33, D = 17, y = 8
x = 35, D = 34, y = 6
x = 37, D = 38, y = 6
x = 39, D = 95, y = 4
x = 41, D = 105, y = 4
x = 43, D = 462, y = 2
x = 44, D = 215, y = 3
x = 45, D = 506, y = 2
x = 46, D = 235, y = 3
x = 47, D = 138, y = 4
x = 48, D = 47, y = 7
x = 49, D = 6, y = 20
x = 50, D = 51, y = 7
x = 51, D = 26, y = 10
x = 53, D = 78, y = 6
x = 55, D = 21, y = 12
x = 57, D = 203, y = 4
x = 59, D = 870, y = 2
x = 61, D = 930, y = 2
x = 62, D = 427, y = 3
x = 63, D = 62, y = 8
x = 64, D = 455, y = 3
x = 65, D = 66, y = 8
x = 71, D = 35, y = 12
x = 73, D = 37, y = 12
x = 74, D = 219, y = 5
x = 76, D = 231, y = 5
x = 79, D = 390, y = 4
x = 80, D = 79, y = 9
x = 81, D = 410, y = 4
x = 82, D = 83, y = 9
x = 87, D = 473, y = 4
x = 89, D = 55, y = 12
x = 91, D = 230, y = 6
x = 95, D = 141, y = 8
x = 97, D = 12, y = 28
x = 99, D = 8, y = 35
x = 101, D = 102, y = 10
x = 103, D = 663, y = 4
x = 105, D = 689, y = 4
x = 107, D = 318, y = 6
x = 109, D = 330, y = 6
x = 111, D = 770, y = 4
x = 113, D = 798, y = 4
x = 119, D = 885, y = 4
x = 120, D = 119, y = 11
x = 121, D = 915, y = 4
x = 122, D = 123, y = 11
x = 124, D = 615, y = 5
x = 125, D = 434, y = 6
x = 126, D = 635, y = 5
x = 127, D = 7, y = 48
x = 129, D = 65, y = 16
x = 143, D = 142, y = 12
x = 145, D = 146, y = 12
x = 146, D = 435, y = 7
x = 148, D = 447, y = 7
x = 149, D = 222, y = 10
x = 151, D = 57, y = 20
x = 159, D = 395, y = 8
x = 161, D = 5, y = 72
x = 163, D = 82, y = 18
x = 168, D = 167, y = 13
x = 170, D = 19, y = 39
x = 179, D = 890, y = 6
x = 181, D = 910, y = 6
x = 191, D = 570, y = 8
x = 193, D = 582, y = 8
x = 195, D = 194, y = 14
x = 197, D = 22, y = 42
x = 199, D = 11, y = 60
x = 201, D = 101, y = 20
x = 215, D = 321, y = 12
x = 217, D = 327, y = 12
x = 223, D = 777, y = 8
x = 224, D = 223, y = 15
x = 225, D = 791, y = 8
x = 226, D = 227, y = 15
x = 233, D = 377, y = 12
x = 241, D = 30, y = 44
x = 242, D = 723, y = 9
x = 243, D = 122, y = 22
x = 244, D = 15, y = 63
x = 249, D = 155, y = 20
x = 251, D = 70, y = 30
x = 255, D = 254, y = 16
x = 257, D = 258, y = 16
x = 271, D = 510, y = 12
x = 287, D = 143, y = 24
